Unit Code	Unit	Region
ACAD	Acadia National Park	NERO
ADAM	Adams National Historical Park	NERO
ADNM	Adams National Memorial	NERO
AFAM	African American Civil War Memorial National Memorial	NCRO
AGFO	Agate Fossil Beds National Monument	MWRO
AIVC	Anchorage Interagency Visitor Center	WASO
AKEPMT	Alaska Exotic Plant Management Team	WASO
AKLO	Alaska Public Lands Info Ctr - Fairbanks Lands Office	AKRO
AKRO	Alaska Region NPS Regional Office	AKRO
AKRO	Denali National Park and Preserve	AKRO
AKSO	Alaska Support Office NPS Support Office	AKRO
ALAG	Alagnak Wild River	AKRO
ALCA	Alcatraz Island	PWRO
ALEU	Aleutian World War II National Historic Area	AKRO
ALFL	Alibates Flint Quarries National Monument	IMRO
ALKA	Ala Kahakai National Historic Trail	PWRO
ALPO	Allegheny Portage Railroad National Historic Site	NERO
AMIS	Amistad National Recreation Area	IMRO
AMME	American Memorial Park	PWRO
ANAC	Anacostia Park	NCRO
ANCH	Alaska Public Lands Info Ctr - Anchorage Lands Office	AKRO
ANCM	Antietam National Cemetery	NCRO
ANDE	Andersonville National Historic Site	SERO
ANIA	Aniakchak National Monument and Preserve	AKRO
ANJO	Andrew Johnson National Historic Site	SERO
ANTI	Antietam National Battlefield	NCRO
AOC	Accounting Operations Center	WASO
APCO	Appomattox Court House National Historical Park	NERO
APHN	Appalachian Highlands Network	WASO
APIS	Apostle Islands National Lakeshore	MWRO
APLO	Appalachian Trail Land Acquisition Field Office	NERO
APPA	Appalachian National Scenic Trail	WASO
ARCH	Arches National Park	IMRO
ARCN	Arctic Network	WASO
ARD	Air Resources Division	WASO
ARHO	Arlington House / The Robert E. Lee National Memorial	NCRO
ARPO	Arkansas Post National Memorial	MWRO
ASIS	Assateague Island National Seashore	NERO
AZRU	Aztec Ruins National Monument	IMRO
BADL	Badlands National Park	MWRO
BAND	Bandelier National Monument	IMRO
BATT	Battleground National Cemetery	NCRO
BAWA	Baltimore-Washington National Parkway	NCRO
BEFR	Benjamin Franklin National Memorial	NERO
BELA	Bering Land Bridge National Preserve	AKRO
BEOL	Bent's Old Fort National Historic Site	IMRO
BEPA	Bear Paw Battlefield	PWRO
BERI	Beringia International Heritage Park	AKRO
BIBE	Big Bend National Park	IMRO
BICA	Bighorn Canyon National Recreation Area	IMRO
BICY	Big Cypress National Preserve	SERO
BIHO	Big Hole National Battlefield	PWRO
BISC	Biscayne National Park	SERO
BISO	Big South Fork National River and Recreation Area	SERO
BITH	Big Thicket National Preserve	IMRO
BLAC	Blackstone River Valley National Heritage Corridor	NERO
BLCA	Black Canyon Of The Gunnison National Park	IMRO
BLRI	Blue Ridge Parkway	SERO
BLUE	Bluestone National Scenic River	NERO
BOAF	Boston African American National Historic Site	NERO
BOHA	Boston Harbor Islands National Recreation Area	NERO
BOSO	Boston Support Office NPS Support Office	NERO
BOST	Boston National Historical Park	NERO
BOWA	Booker T. Washington National Monument	NERO
BRCA	Bryce Canyon National Park	IMRO
BRCR	Brices Cross Roads National Battlefield Site	SERO
BRMD	Biological Resource Management Division	WASO
BRVB	Brown v. Board Of Education National Historic Site	MWRO
BUFF	Buffalo National River	MWRO
BUIS	Buck Island Reef National Monument	SERO
CABR	Cabrillo National Monument	PWRO
CACH	Canyon De Chelly National Monument	IMRO
CACL	Castle Clinton National Monument	NERO
CACO	Cape Cod National Seashore	NERO
CAEPMT	California Exotic Plant Management Team	WASO
CAGR	Casa Grande Ruins National Monument	IMRO
CAHA	Cape Hatteras National Seashore	SERO
CAHE	Capitol Hill Parks	NCRO
CAJO	Captain John Smith Chesapeake National Historic Trail	NERO
CAKN	Central Alaska Network	WASO
CAKR	Cape Krusenstern National Monument	AKRO
CALA	Cache La Poudre Water Heritage Area	IMRO
CALI	California National Historic Trail	IMRO
CALO	Cape Lookout National Seashore	SERO
CAME	Cape Henry National Memorial	NERO
CANA	Canaveral National Seashore	SERO
CANY	Canyonlands National Park	IMRO
CARE	Capitol Reef National Park	IMRO
CARI	Cane River Creole National Historical Park	SERO
CARL	Carl Sandburg Home National Historic Site	SERO
CASA	Castillo De San Marcos National Monument	SERO
CATC	Capital Training Center	WASO
CATO	Catoctin Mountain Park	NCRO
CAVE	Carlsbad Caverns National Park	IMRO
CAVO	Capulin Volcano National Monument	IMRO
CAWO	Carter G. Woodson Home National Historic Site	NCRO
CBPO	Chesapeake Bay Gateways	NERO
CCSO	Columbia Cascades Support Office NPS Support Office	PWRO
CDSPEPMT	Chihuahuan Desert/Shortgrass Prairie Exotic Plant Management Team	WASO
CEBE	Cedar Creek and Belle Grove National Historical Park	NERO
CEBR	Cedar Breaks National Monument	IMRO
CHAM	Chamizal National Memorial	IMRO
CHAT	Chattahoochee River National Recreation Area	SERO
CHCH	Chickamauga and Chattanooga National Military Park	SERO
CHCU	Chaco Culture National Historical Park	IMRO
CHDN	Chihuahuan Desert Network	WASO
CHIC	Chickasaw National Recreation Area	IMRO
CHIR	Chiricahua National Monument	IMRO
CHIS	Channel Islands National Park	PWRO
CHOH	Chesapeake and Ohio Canal National Historical Park	NCRO
CHPI	Charles Pinckney National Historic Site	SERO
CHPO	Chicago Portage National Historic Site	MWRO
CHRI	Christiansted National Historic Site	SERO
CHRO	Chimney Rock National Historic Site	MWRO
CHSC	Central High School National Historic Site	MWRO
CIRO	City Of Rocks National Reserve	PWRO
CLBA	Clara Barton National Historic Site	NCRO
CLMO	Claude Moore Colonial Farm	NCRO
COAG	Conservation Assistance Group Office	NERO
COGA	Constitution Gardens	NCRO
COLM	Colorado National Monument	IMRO
COLO	Colonial National Historical Park	NERO
COLP	Colonial Parkway	NERO
CONG	Congaree National Park	SERO
CORO	Coronado National Memorial	IMRO
COSW	Congaree Swamp National Park	SERO
COWP	Cowpens National Battlefield	SERO
CPC	Concessions Program Center	WASO
CPEPMT	Colorado Plateau Exotic Plant Management Team	WASO
CRGIS	Cultural Resources GIS	WASO
CRHA	Cane River National Heritage Area	SERO
CRLA	Crater Lake National Park	PWRO
CRMO	Craters Of The Moon National Monument and Preserve	PWRO
CUGA	Cumberland Gap National Historical Park	SERO
CUIS	Cumberland Island National Seashore	SERO
CUPN	Cumberland Piedmont Network	WASO
CURE	Curecanti National Recreation Area	IMRO
CUVA	Cuyahoga Valley National Park	MWRO
DAAV	Dayton Aviation Heritage National Historical Park	MWRO
DABE	David Berger National Memorial	MWRO
DELA	Delaware National Scenic River	NERO
DELE	Delaware and Lehigh Navigation Canal National Heritage Corridor	NERO
DEMO	Deshler-Morris House	NERO
DENA	Denali National Park and Preserve	AKRO
DEPO	Devils Postpile National Monument	PWRO
DESO	De Soto National Memorial	SERO
DETO	Devils Tower National Monument	IMRO
DEVA	Death Valley National Park	PWRO
DEWA	Delaware Water Gap National Recreation Area	NERO
DINO	Dinosaur National Monument	IMRO
DRTO	Dry Tortugas National Park	SERO
DSC	Denver Service Center	WASO
DWEI	Dwight D. Eisenhower National Memorial	NCRO
EAPO	East Potomac Park	NCRO
EBLA	Ebey's Landing National Historical Reserve	PWRO
EDAL	Edgar Allan Poe National Historic Site	NERO
EDIS	Thomas Edison National Historical Park	NERO
EFMO	Effigy Mounds National Monument	MWRO
EISE	Eisenhower National Historic Site	NERO
ELCA	El Camino Real de Tierra Adentro National Historic Trail	IMRO
ELIS	Ellis Island National Monument	NERO
ELMA	El Malpais National Monument	IMRO
ELMO	El Morro National Monument	IMRO
ELRO	Eleanor Roosevelt National Historic Site	NERO
ELTE	El Camino Real de los Tejas National Historic Trail	IMRO
ERIE	Erie Canalway National Heritage Corridor	NERO
ERMN	Eastern Rivers and Mountains Network	WASO
ESSE	Essex National Heritage Area	NERO
EUON	Eugene O'Neill National Historic Site	PWRO
EVER	Everglades National Park	SERO
FAMA	Father Marquette National Memorial	MWRO
FARM	Farmington National Wild and Scenic River	NERO
FATI	Fallen Timbers Battlefield History Park	MWRO
FDNC	Fort Donelson National Cemetery	SERO
FDRM	Franklin Delano Roosevelt National Memorial	NCRO
FEHA	Federal Hall National Memorial	NERO
FIIS	Fire Island National Seashore	NERO
FILA	First Ladies National Historic Site	MWRO
FIRE	Fire Management Program Center	WASO
FIVC	Fairbanks Interagency Visitor Center	WASO
FLCEPMT	Florida Caribbean Exotic Plant Management Team	WASO
FLFO	Florissant Fossil Beds National Monument	IMRO
FLNI	Flight 93 National Memorial	NERO
FOBO	Fort Bowie National Historic Site	IMRO
FOBU	Fossil Butte National Monument	IMRO
FOCA	Fort Caroline National Memorial	SERO
FOCI	Fort Circle Parks	NCRO
FODA	Fort Davis National Historic Site	IMRO
FODO	Fort Donelson National Battlefield	SERO
FODU	Fort Dupont Park	NCRO
FOFO	Fort Foote Park	NCRO
FOFR	Fort Frederica National Monument	SERO
FOLA	Fort Laramie National Historic Site	IMRO
FOLS	Fort Larned National Historic Site	MWRO
FOMA	Fort Matanzas National Monument	SERO
FOMC	Fort McHenry National Monument and Historic Shrine	NERO
FOMO	Fort Moultrie National Monument	SERO
FONE	Fort Necessity National Battlefield	NERO
FOPO	Fort Point National Historic Site	PWRO
FOPU	Fort Pulaski National Monument	SERO
FORA	Fort Raleigh National Historic Site	SERO
FOSC	Fort Scott National Historic Site	MWRO
FOSM	Fort Smith National Historic Site	MWRO
FOST	Fort Stanwix National Monument	NERO
FOSU	Fort Sumter National Monument	SERO
FOTH	Ford's Theatre National Historic Site	NCRO
FOUN	Fort Union National Monument	IMRO
FOUS	Fort Union Trading Post National Historic Site	MWRO
FOVA	Fort Vancouver National Historic Site	PWRO
FOWA	Fort Washington Park	NCRO
FRDO	Frederick Douglass National Historic Site	NCRO
FRED	Fredericksburg National Cemetery	NERO
FRHI	Friendship Hill National Historic Site	NERO
FRLA	Frederick Law Olmsted National Historic Site	NERO
FRSC	Francis Scott Key National Memorial	NCRO
FRSP	Fredericksburg and Spotsylvania National Military Park	NERO
GAAR	Gates Of The Arctic National Park and Preserve	AKRO
GARI	Gauley River National Recreation Area	NERO
GATE	Gateway National Recreation Area	NERO
GCEPMT	Gulf Coast Exotic Plant Management Team	WASO
GEGR	General Grant National Memorial	NERO
GEMM	George Mason Memorial	NCRO
GERO	George Rogers Clark National Historical Park	MWRO
GETC	Gettysburg National Cemetery	NERO
GETT	Gettysburg National Military Park	NERO
GEWA	George Washington Birthplace National Monument	NERO
GICL	Gila Cliff Dwellings National Monument	IMRO
GISD	GIS Division	WASO
GLAC	Glacier National Park	IMRO
GLBA	Glacier Bay National Park and Preserve	AKRO
GLCA	Glen Canyon National Recreation Area	IMRO
GLDE	Gloria Dei (Old Swedes') Church National Historic Site	NERO
GLEC	Glen Echo National Park	NCRO
GLEPMT	Great Lakes Exotic Plant Management Team	WASO
GLKN	Great Lakes Network	WASO
GLOR	Glorieta National Battlefield	IMRO
GOGA	Golden Gate National Recreation Area	PWRO
GOIS	Governors Island National Monument	NERO
GOSP	Golden Spike National Historic Site	IMRO
GRBA	Great Basin National Park	PWRO
GRCA	Grand Canyon National Park	IMRO
GRD	Geologic Resources Division	WASO
GREE	Greenbelt Park	NCRO
GREG	Great Egg Harbor National Scenic and Recreational River	NERO
GRFA	Great Falls Park	NCRO
GRKO	Grant-Kohrs Ranch National Historic Site	IMRO
GRON	Great Onyx Job Corps Civ Cons Center Job Corps Center	SERO
GRPO	Grand Portage National Monument	MWRO
GRSA	Great Sand Dunes National Park and Preserve	IMRO
GRSM	Great Smoky Mountains National Park	SERO
GRSP	Green Springs National Historic Landmark District	NERO
GRTE	Grand Teton National Park	IMRO
GRYN	Greater Yellowstone Network	WASO
GUCO	Guilford Courthouse National Military Park	SERO
GUIS	Gulf Islands National Seashore	SERO
GULN	Gulf Coast Network	WASO
GUMO	Guadalupe Mountains National Park	IMRO
GWCA	George Washington Carver National Monument	MWRO
GWMP	George Washington Memorial Parkway	NCRO
HAFE	Harpers Ferry National Historical Park	NCRO
HAFO	Hagerman Fossil Beds National Monument	PWRO
HAGR	Hamilton Grange National Memorial	NERO
HAHA	Harmony Hall	NCRO
HALE	Haleakala National Park	PWRO
HAMP	Hampton National Historic Site	NERO
HAVO	Hawaii Volcanoes National Park	PWRO
HEHO	Herbert Hoover National Historic Site	MWRO
HFC	Harpers Ferry Center	WASO
HFJC	Harpers Ferry Job Corps Civ Cons Ctr Job Corps Center	NCRO
HICA	Historic Camden Revolutionary War Site	SERO
HOAL	Horace M. Albright Training Center	WASO
HOBE	Horseshoe Bend National Military Park	SERO
HOCU	Hopewell Culture National Historical Park	MWRO
HOFR	Home Of Franklin D. Roosevelt National Historic Site	NERO
HOFU	Hopewell Furnace National Historic Site	NERO
HOME	Homestead National Monument of America	MWRO
HOSP	Hot Springs National Park	MWRO
HOVE	Hovenweep National Monument	IMRO
HPTC	Historic Preservation Training Center	WASO
HSTR	Harry S. Truman National Historic Site	MWRO
HTLN	Heartland Network	WASO
HUTR	Hubbell Trading Post National Historic Site	IMRO
IATR	Ice Age National Scenic Trail	MWRO
ICAG	Ice Age National Scientific Reserve	MWRO
ILMI	Illinois and Michigan Canal National Heritage Corridor	MWRO
IMCRC	Intermountain Cultural Resource Center	IMRO
IMDE	Denver Support Office NPS Support Office	IMRO
IMRO	Intermountain Region NPS Regional Office	IMRO
IMSF	Santa Fe Support Office NPS Support Office	IMRO
INDE	Independence National Historical Park	NERO
INDU	Indiana Dunes National Lakeshore	MWRO
INPE	International Peace Garden	MWRO
INUP	Inupiat Heritage Center Affiliated Area New Bedford Whaling NHP	AKRO
ISRO	Isle Royale National Park	MWRO
ITC	Information Telecommunications Center	WASO
JAGA	James A. Garfield National Historic Site	MWRO
JAME	Jamestown National Historic Site	NERO
JAZZ	New Orleans Jazz National Historical Park	SERO
JECA	Jewel Cave National Monument	MWRO
JEFF	Jefferson National Expansion Memorial National Memorial	MWRO
JELA	Jean Lafitte National Historical Park and Preserve	SERO
JEME	Thomas Jefferson Memorial	NCRO
JICA	Jimmy Carter National Historic Site	SERO
JODA	John Day Fossil Beds National Monument	PWRO
JODR	John D. Rockefeller Jr. Memorial Parkway	IMRO
JOER	John Ericsson National Memorial	NCRO
JOFI	John Fitzgerald Kennedy National Historic Site	NERO
JOFL	Johnstown Flood National Memorial	NERO
JOMU	John Muir National Historic Site	PWRO
JOTR	Joshua Tree National Park	PWRO
JUBA	Juan Bautista De Anza National Historic Trail	PWRO
KAHO	Kaloko-Honokohau National Historical Park	PWRO
KALA	Kalaupapa National Historical Park	PWRO
KATM	Katmai National Park and Preserve	AKRO
KEFJ	Kenai Fjords National Park	AKRO
KEMO	Kennesaw Mountain National Battlefield Park	SERO
KEPA	Kenilworth Park and Aquatic Gardens	NCRO
KEWE	Keweenaw National Historical Park	MWRO
KICA	Kings Canyon National Park	PWRO
KIMO	Kings Mountain National Military Park	SERO
